#Conversion of scaffold names used in genome assemblies (left) and in this manuscript (right)

scaffold1_size1318325_1_614794	scaffold1_1
scaffold76_size253384	scaffold76_1
scaffold77_size253076	scaffold77_1
scaffold78_size252697_1_8962	scaffold78_1
scaffold78_size252697_10556_12618	scaffold78_2
scaffold78_size252697_16979_252697	scaffold78_3
scaffold79_size250928_1_25010	scaffold79_1
scaffold79_size250928_26764_250928	scaffold79_2
scaffold80_size249958_1_152217	scaffold80_1
scaffold80_size249958_153974_249958	scaffold80_2
scaffold81_size247816	scaffold81_1
scaffold82_size247069_1_115738	scaffold82_1
scaffold82_size247069_117098_120015	scaffold82_2
scaffold82_size247069_122764_247069	scaffold82_3
scaffold83_size246350	scaffold83_1
scaffold84_size246228	scaffold84_1
scaffold85_size245077	scaffold85_1
scaffold86_size243153_1_21826	scaffold86_1
scaffold86_size243153_23218_243153	scaffold86_2
scaffold87_size242295	scaffold87_1
scaffold88_size241511	scaffold88_1
scaffold89_size240625	scaffold89_1
scaffold90_size239631	scaffold90_1
scaffold91_size238995_1_222219	scaffold91_1
scaffold91_size238995_223394_238995	scaffold91_2
scaffold92_size238147	scaffold92_1
scaffold93_size237894	scaffold93_1
scaffold94_size237709	scaffold94_1
scaffold95_size237488	scaffold95_1
scaffold96_size234934_1_6987	scaffold96_1
scaffold96_size234934_8017_234934	scaffold96_2
scaffold97_size233726	scaffold97_1
scaffold98_size233610	scaffold98_1
scaffold99_size231440_1_213302	scaffold99_1
scaffold99_size231440_213304_231440	scaffold99_2
scaffold100_size230570	scaffold100_1
scaffold101_size229544_1_159998	scaffold101_1
scaffold101_size229544_160000_161073	scaffold101_2
scaffold101_size229544_167932_229544	scaffold101_3
scaffold102_size228633	scaffold102_1
scaffold103_size227989	scaffold103_1
scaffold104_size227861	scaffold104_1
scaffold105_size227800	scaffold105_1
scaffold106_size227054	scaffold106_1
scaffold107_size226774	scaffold107_1
scaffold108_size226770	scaffold108_1
scaffold109_size226746_1_157967	scaffold109_1
scaffold109_size226746_159421_160379	scaffold109_2
scaffold109_size226746_167580_226746	scaffold109_3
scaffold110_size225821	scaffold110_1
scaffold111_size225310	scaffold111_1
scaffold112_size225157	scaffold112_1
scaffold113_size225139	scaffold113_1
scaffold114_size223421	scaffold114_1
scaffold115_size222591	scaffold115_1
scaffold116_size222397	scaffold116_1
scaffold117_size222108	scaffold117_1
scaffold118_size222055	scaffold118_1
scaffold119_size221971	scaffold119_1
scaffold120_size220441	scaffold120_1
scaffold121_size217923_1_94644	scaffold121_1
scaffold121_size217923_95732_97347	scaffold121_2
scaffold121_size217923_98765_217923	scaffold121_3
scaffold122_size217490	scaffold122_1
scaffold123_size217347	scaffold123_1
scaffold124_size217219	scaffold124_1
scaffold125_size216926_1_50597	scaffold125_1
scaffold125_size216926_51369_123336	scaffold125_2
scaffold125_size216926_124822_126291	scaffold125_3
scaffold125_size216926_131424_216926	scaffold125_4
scaffold126_size216713	scaffold126_1
scaffold127_size215386	scaffold127_1
scaffold128_size215155	scaffold128_1
scaffold129_size213236	scaffold129_1
scaffold130_size213079_1_183262	scaffold130_1
scaffold130_size213079_185230_213079	scaffold130_2
scaffold131_size212582	scaffold131_1
scaffold132_size212532_1_190232	scaffold132_1
scaffold132_size212532_191893_212532	scaffold132_2
scaffold133_size211461	scaffold133_1
scaffold134_size211017	scaffold134_1
scaffold135_size210540	scaffold135_1
scaffold136_size210038	scaffold136_1
scaffold137_size209963	scaffold137_1
scaffold138_size209812	scaffold138_1
scaffold139_size209393	scaffold139_1
scaffold140_size208482_1_58151	scaffold140_1
scaffold140_size208482_58248_208482	scaffold140_2
scaffold141_size208362	scaffold141_1
scaffold142_size207768	scaffold142_1
scaffold143_size207222_1_101026	scaffold143_1
scaffold143_size207222_101913_207222	scaffold143_2
scaffold144_size206667	scaffold144_1
scaffold145_size205777	scaffold145_1
scaffold146_size205089	scaffold146_1
scaffold147_size204049	scaffold147_1
scaffold148_size204002_1_9496	scaffold148_1
scaffold148_size204002_10190_40199	scaffold148_2
scaffold148_size204002_40646_204002	scaffold148_3
scaffold149_size203641	scaffold149_1
scaffold150_size202192	scaffold150_1
scaffold151_size202076	scaffold151_1
scaffold152_size201971	scaffold152_1
scaffold153_size201746	scaffold153_1
scaffold154_size201728	scaffold154_1
scaffold155_size201447	scaffold155_1
scaffold156_size201049_1_36169	scaffold156_1
scaffold156_size201049_37454_143676	scaffold156_2
scaffold156_size201049_143678_144845	scaffold156_3
scaffold156_size201049_146901_201049	scaffold156_4
scaffold157_size200996	scaffold157_1
scaffold158_size199653	scaffold158_1
scaffold159_size199484	scaffold159_1
scaffold160_size199286	scaffold160_1
scaffold161_size199205	scaffold161_1
scaffold162_size199129	scaffold162_1
scaffold163_size198978	scaffold163_1
scaffold164_size198908	scaffold164_1
scaffold165_size198372	scaffold165_1
scaffold166_size197926	scaffold166_1
scaffold167_size197321	scaffold167_1
scaffold168_size196903	scaffold168_1
scaffold169_size196547_1_116226	scaffold169_1
scaffold169_size196547_118101_196547	scaffold169_2
scaffold170_size194615	scaffold170_1
scaffold171_size194458	scaffold171_1
scaffold172_size193148_1_66441	scaffold172_1
scaffold172_size193148_66923_69207	scaffold172_2
scaffold172_size193148_74106_193148	scaffold172_3
scaffold173_size192576	scaffold173_1
scaffold174_size192087	scaffold174_1
scaffold175_size191877	scaffold175_1
scaffold176_size191535	scaffold176_1
scaffold177_size191359	scaffold177_1
scaffold178_size190624	scaffold178_1
scaffold179_size190157	scaffold179_1
scaffold180_size190026	scaffold180_1
scaffold181_size189475	scaffold181_1
scaffold182_size188830	scaffold182_1
scaffold183_size188505_1_136101	scaffold183_1
scaffold183_size188505_137939_188505	scaffold183_2
scaffold184_size188470	scaffold184_1
scaffold185_size188373	scaffold185_1
scaffold186_size188205	scaffold186_1
scaffold187_size187848_1_138265	scaffold187_1
scaffold187_size187848_140019_142594	scaffold187_2
scaffold187_size187848_149725_187848	scaffold187_3
scaffold188_size187679	scaffold188_1
scaffold189_size187403	scaffold189_1
scaffold190_size186885_1_131259	scaffold190_1
scaffold190_size186885_131261_186885	scaffold190_2
scaffold191_size186831	scaffold191_1
scaffold192_size186758	scaffold192_1
scaffold193_size186445_1_17252	scaffold193_1
scaffold193_size186445_17473_186445	scaffold193_2
scaffold194_size186409	scaffold194_1
scaffold195_size186312_1_180072	scaffold195_1
scaffold195_size186312_180844_186312	scaffold195_2
scaffold196_size185570_1_53794	scaffold196_1
scaffold196_size185570_54294_174951	scaffold196_2
scaffold196_size185570_176976_185570	scaffold196_3
scaffold197_size185135	scaffold197_1
scaffold198_size184815	scaffold198_1
scaffold199_size184615_1_99089	scaffold199_1
scaffold199_size184615_101307_101664	scaffold199_2
scaffold199_size184615_101721_184615	scaffold199_3
scaffold200_size184529	scaffold200_1
scaffold201_size183890	scaffold201_1
scaffold202_size183598	scaffold202_1
scaffold203_size183582	scaffold203_1
scaffold204_size183422	scaffold204_1
scaffold205_size182689	scaffold205_1
scaffold206_size182533	scaffold206_1
scaffold207_size182533	scaffold207_1
scaffold208_size182513	scaffold208_1
scaffold209_size182240	scaffold209_1
scaffold210_size181762_1_63842	scaffold210_1
scaffold210_size181762_63844_181762	scaffold210_2
scaffold211_size181092	scaffold211_1
scaffold212_size180337_1_174088	scaffold212_1
scaffold212_size180337_176228_180337	scaffold212_2
scaffold213_size180305	scaffold213_1
scaffold214_size180006	scaffold214_1
scaffold215_size179890	scaffold215_1
scaffold216_size179776	scaffold216_1
scaffold217_size179619	scaffold217_1
scaffold218_size179080_1_62773	scaffold218_1
scaffold218_size179080_62775_106051	scaffold218_2
scaffold218_size179080_106326_111032	scaffold218_3
scaffold218_size179080_115100_179080	scaffold218_4
scaffold219_size178778	scaffold219_1
scaffold220_size178724	scaffold220_1
scaffold221_size188237_1_29282	scaffold221_1
scaffold221_size188237_29284_32542	scaffold221_2
scaffold221_size188237_35750_121220	scaffold221_3
scaffold221_size188237_122550_178580	scaffold221_4
scaffold221_size188237_178661_188237	scaffold221_5
scaffold222_size177912	scaffold222_1
scaffold223_size177318	scaffold223_1
scaffold224_size177253	scaffold224_1
scaffold225_size176217_1_95675	scaffold225_1
scaffold225_size176217_95677_176217	scaffold225_2
scaffold226_size175911	scaffold226_1
scaffold227_size175474	scaffold227_1
scaffold228_size175174	scaffold228_1
scaffold229_size174961	scaffold229_1
scaffold230_size174468	scaffold230_1
scaffold231_size174123	scaffold231_1
scaffold232_size173931	scaffold232_1
scaffold233_size173737	scaffold233_1
scaffold234_size173289	scaffold234_1
scaffold235_size173278_1_68146	scaffold235_1
scaffold235_size173278_69395_173278	scaffold235_2
scaffold236_size173227	scaffold236_1
scaffold237_size172628	scaffold237_1
scaffold238_size171894	scaffold238_1
scaffold239_size171755	scaffold239_1
scaffold240_size170785	scaffold240_1
scaffold241_size170751_1_64217	scaffold241_1
scaffold241_size170751_65247_170751	scaffold241_2
scaffold242_size169101	scaffold242_1
scaffold243_size168924	scaffold243_1
scaffold244_size168921_1_62419	scaffold244_1
scaffold244_size168921_62421_168921	scaffold244_2
scaffold245_size168808	scaffold245_1
scaffold246_size167696	scaffold246_1
scaffold247_size167482_1_11052	scaffold247_1
scaffold247_size167482_11107_167482	scaffold247_2
scaffold248_size167209_1_120425	scaffold248_1
scaffold248_size167209_120797_167209	scaffold248_2
scaffold249_size167069	scaffold249_1
scaffold250_size167053	scaffold250_1
scaffold251_size166806_1_46115	scaffold251_1
scaffold251_size166806_48243_50159	scaffold251_2
scaffold251_size166806_56277_57620	scaffold251_3
scaffold251_size166806_57622_73691	scaffold251_4
scaffold251_size166806_73693_75874	scaffold251_5
scaffold251_size166806_75959_78121	scaffold251_6
scaffold251_size166806_83788_104214	scaffold251_7
scaffold251_size166806_104463_122814	scaffold251_8
scaffold251_size166806_124164_126316	scaffold251_9
scaffold251_size166806_131541_166806	scaffold251_10
scaffold252_size166626	scaffold252_1
scaffold253_size166489	scaffold253_1
scaffold254_size166296	scaffold254_1
scaffold255_size166186_1_106629	scaffold255_1
scaffold255_size166186_108067_125227	scaffold255_2
scaffold255_size166186_127073_166186	scaffold255_3
scaffold256_size166081_1_6741	scaffold256_1
scaffold256_size166081_7805_9541	scaffold256_2
scaffold256_size166081_9543_166081	scaffold256_3
scaffold257_size165569	scaffold257_1
scaffold258_size165373	scaffold258_1
scaffold259_size165221	scaffold259_1
scaffold260_size165177	scaffold260_1
scaffold261_size165160	scaffold261_1
scaffold262_size165026	scaffold262_1
scaffold263_size164981	scaffold263_1
scaffold264_size164436_1_60430	scaffold264_1
scaffold264_size164436_61399_164436	scaffold264_2
scaffold265_size163924	scaffold265_1
scaffold266_size163898	scaffold266_1
scaffold267_size163524	scaffold267_1
scaffold268_size166745_1_89238	scaffold268_1
scaffold268_size166745_89550_166745	scaffold268_2
scaffold269_size163303	scaffold269_1
scaffold270_size163107_1_94769	scaffold270_1
scaffold270_size163107_96342_163107	scaffold270_2
scaffold271_size162977	scaffold271_1
scaffold272_size162852	scaffold272_1
scaffold273_size162661_1_33698	scaffold273_1
scaffold273_size162661_35165_37107	scaffold273_2
scaffold273_size162661_42906_64040	scaffold273_3
scaffold273_size162661_64439_162661	scaffold273_4
scaffold274_size162554_1_153286	scaffold274_1
scaffold274_size162554_154885_162554	scaffold274_2
scaffold275_size162133	scaffold275_1
scaffold276_size161671	scaffold276_1
scaffold277_size161450	scaffold277_1
scaffold278_size161220_1_111677	scaffold278_1
scaffold278_size161220_111843_161220	scaffold278_2
scaffold279_size161205	scaffold279_1
scaffold280_size160499_1_19907	scaffold280_1
scaffold280_size160499_21165_160499	scaffold280_2
scaffold281_size160409_1_89046	scaffold281_1
scaffold281_size160409_91005_160409	scaffold281_2
scaffold282_size160383	scaffold282_1
scaffold283_size160071	scaffold283_1
scaffold284_size159654	scaffold284_1
scaffold285_size159522_1_147697	scaffold285_1
scaffold285_size159522_148256_150002	scaffold285_2
scaffold285_size159522_155979_159522	scaffold285_3
scaffold286_size159318	scaffold286_1
scaffold287_size159178	scaffold287_1
scaffold288_size159169_1_106203	scaffold288_1
scaffold288_size159169_106205_109770	scaffold288_2
scaffold288_size159169_115102_125355	scaffold288_3
scaffold288_size159169_125606_159169	scaffold288_4
scaffold289_size159156	scaffold289_1
scaffold290_size158741	scaffold290_1
scaffold291_size158381	scaffold291_1
scaffold292_size158310	scaffold292_1
scaffold293_size158015	scaffold293_1
scaffold294_size157993	scaffold294_1
scaffold295_size157718_1_86129	scaffold295_1
scaffold295_size157718_87362_157718	scaffold295_2
scaffold296_size157647	scaffold296_1
scaffold297_size219900	scaffold297_1
scaffold298_size157564	scaffold298_1
scaffold299_size157374_1_56219	scaffold299_1
scaffold299_size157374_58342_157374	scaffold299_2
scaffold300_size156971	scaffold300_1
scaffold301_size156720	scaffold301_1
scaffold302_size156110	scaffold302_1
scaffold303_size156103_1_9649	scaffold303_1
scaffold303_size156103_10928_156103	scaffold303_2
scaffold304_size156066	scaffold304_1
scaffold305_size158791	scaffold305_1
scaffold306_size155591	scaffold306_1
scaffold307_size155544	scaffold307_1
scaffold308_size155522	scaffold308_1
scaffold309_size155518	scaffold309_1
scaffold310_size155456	scaffold310_1
scaffold311_size155266	scaffold311_1
scaffold312_size155237	scaffold312_1
scaffold313_size155083	scaffold313_1
scaffold314_size154911	scaffold314_1
scaffold315_size154866	scaffold315_1
scaffold316_size154796_1_78353	scaffold316_1
scaffold316_size154796_80189_81788	scaffold316_2
scaffold316_size154796_87578_154796	scaffold316_3
scaffold317_size154501	scaffold317_1
scaffold318_size154113	scaffold318_1
scaffold319_size153910	scaffold319_1
scaffold320_size153881_1_107725	scaffold320_1
scaffold320_size153881_108610_153881	scaffold320_2
scaffold321_size153802_1_78373	scaffold321_1
scaffold321_size153802_79022_136139	scaffold321_2
scaffold321_size153802_136141_153802	scaffold321_3
scaffold322_size153730	scaffold322_1
scaffold323_size153661	scaffold323_1
scaffold324_size153638	scaffold324_1
scaffold325_size153467	scaffold325_1
scaffold326_size153415	scaffold326_1
scaffold327_size153373	scaffold327_1
scaffold328_size153164	scaffold328_1
scaffold329_size153156	scaffold329_1
scaffold330_size152942	scaffold330_1
scaffold331_size152649	scaffold331_1
scaffold332_size152529	scaffold332_1
scaffold333_size152518_1_53871	scaffold333_1
scaffold333_size152518_55369_152518	scaffold333_2
scaffold334_size152355_1_115563	scaffold334_1
scaffold334_size152355_117313_152355	scaffold334_2
scaffold335_size152339	scaffold335_1
scaffold336_size154368	scaffold336_1
scaffold337_size151880	scaffold337_1
scaffold338_size151875	scaffold338_1
scaffold339_size151820	scaffold339_1
scaffold340_size151720	scaffold340_1
scaffold341_size151626	scaffold341_1
scaffold342_size150546	scaffold342_1
scaffold343_size150494	scaffold343_1
scaffold344_size150430	scaffold344_1
scaffold345_size150338	scaffold345_1
scaffold346_size150270	scaffold346_1
scaffold347_size150056	scaffold347_1
scaffold348_size149979	scaffold348_1
scaffold349_size149880	scaffold349_1
scaffold350_size149510	scaffold350_1
scaffold351_size149505	scaffold351_1
scaffold352_size149380	scaffold352_1
scaffold353_size149128	scaffold353_1
scaffold354_size148934	scaffold354_1
scaffold355_size148869_1_90760	scaffold355_1
scaffold355_size148869_92492_148869	scaffold355_2
scaffold356_size148859_1_120978	scaffold356_1
scaffold356_size148859_121616_148859	scaffold356_2
scaffold357_size148801	scaffold357_1
scaffold358_size148447	scaffold358_1
scaffold359_size148366	scaffold359_1
scaffold360_size148363_1_26652	scaffold360_1
scaffold360_size148363_28785_30269	scaffold360_2
scaffold360_size148363_33376_148363	scaffold360_3
scaffold361_size148295	scaffold361_1
scaffold362_size148244	scaffold362_1
scaffold363_size148221	scaffold363_1
scaffold364_size148094_1_33556	scaffold364_1
scaffold364_size148094_34401_148094	scaffold364_2
scaffold365_size146915	scaffold365_1
scaffold366_size146900_1_115679	scaffold366_1
scaffold366_size146900_116237_146900	scaffold366_2
scaffold367_size146619	scaffold367_1
scaffold368_size146514	scaffold368_1
scaffold369_size146377_1_78583	scaffold369_1
scaffold369_size146377_79670_146377	scaffold369_2
scaffold370_size146255	scaffold370_1
scaffold371_size145750	scaffold371_1
scaffold372_size145711	scaffold372_1
scaffold373_size145283	scaffold373_1
scaffold374_size145223	scaffold374_1
scaffold375_size144525	scaffold375_1
scaffold376_size144403_1_17232	scaffold376_1
scaffold376_size144403_17588_17715	scaffold376_2
scaffold376_size144403_19374_144403	scaffold376_3
scaffold377_size144185	scaffold377_1
scaffold378_size143965	scaffold378_1
scaffold379_size143888	scaffold379_1
scaffold380_size143699_1_64114	scaffold380_1
scaffold380_size143699_66340_67551	scaffold380_2
scaffold380_size143699_69828_138259	scaffold380_3
scaffold380_size143699_138612_143699	scaffold380_4
scaffold381_size143451	scaffold381_1
scaffold382_size143350	scaffold382_1
scaffold383_size143297	scaffold383_1
scaffold384_size143092_1_55100	scaffold384_1
scaffold384_size143092_57235_143092	scaffold384_2
scaffold385_size142932	scaffold385_1
scaffold386_size142867_1_76614	scaffold386_1
scaffold386_size142867_77944_142867	scaffold386_2
scaffold387_size142806_1_6234	scaffold387_1
scaffold387_size142806_7474_142806	scaffold387_2
scaffold388_size142742_1_93679	scaffold388_1
scaffold388_size142742_95073_142742	scaffold388_2
scaffold389_size142697	scaffold389_1
scaffold390_size142647	scaffold390_1
scaffold391_size142594	scaffold391_1
scaffold392_size142572	scaffold392_1
scaffold393_size142551	scaffold393_1
scaffold394_size145843	scaffold394_1
scaffold395_size141893	scaffold395_1
scaffold396_size141525	scaffold396_1
scaffold397_size141374	scaffold397_1
scaffold398_size141333	scaffold398_1
scaffold399_size141095	scaffold399_1
scaffold400_size140991	scaffold400_1
scaffold401_size140984	scaffold401_1
scaffold402_size140942	scaffold402_1
scaffold403_size140863	scaffold403_1
scaffold404_size140762_1_125728	scaffold404_1
scaffold404_size140762_126040_140762	scaffold404_2
scaffold405_size140739	scaffold405_1
scaffold406_size140071	scaffold406_1
scaffold407_size140066	scaffold407_1
scaffold408_size139911	scaffold408_1
scaffold409_size139795	scaffold409_1
scaffold410_size139749	scaffold410_1
scaffold411_size139723	scaffold411_1
scaffold412_size139582_1_97586	scaffold412_1
scaffold412_size139582_99336_139582	scaffold412_2
scaffold413_size139214	scaffold413_1
scaffold414_size138879_1_87659	scaffold414_1
scaffold414_size138879_87661_138879	scaffold414_2
scaffold415_size138668_1_77955	scaffold415_1
scaffold415_size138668_78744_80223	scaffold415_2
scaffold415_size138668_84484_138668	scaffold415_3
scaffold416_size138660_1_33808	scaffold416_1
scaffold416_size138660_33810_138660	scaffold416_2
scaffold417_size138644	scaffold417_1
scaffold418_size138560	scaffold418_1
scaffold419_size138522_1_129374	scaffold419_1
scaffold419_size138522_131492_138522	scaffold419_2
scaffold420_size138482	scaffold420_1
scaffold421_size138302	scaffold421_1
scaffold422_size138229	scaffold422_1
scaffold423_size138059	scaffold423_1
scaffold424_size137844	scaffold424_1
scaffold425_size137827	scaffold425_1
scaffold426_size137742_1_125730	scaffold426_1
scaffold426_size137742_126252_137742	scaffold426_2
scaffold427_size137691	scaffold427_1
scaffold428_size137564	scaffold428_1
scaffold429_size137531	scaffold429_1
scaffold430_size137349	scaffold430_1
scaffold431_size137261	scaffold431_1
scaffold432_size137002	scaffold432_1
scaffold433_size136961_1_59469	scaffold433_1
scaffold433_size136961_60981_136961	scaffold433_2
scaffold434_size136861	scaffold434_1
scaffold435_size136816	scaffold435_1
scaffold436_size136760	scaffold436_1
scaffold437_size136614	scaffold437_1
scaffold438_size136552	scaffold438_1
scaffold439_size136414	scaffold439_1
scaffold440_size136064	scaffold440_1
scaffold441_size135902	scaffold441_1
scaffold442_size135893	scaffold442_1
scaffold443_size135660	scaffold443_1
scaffold444_size135525	scaffold444_1
scaffold445_size135374	scaffold445_1
scaffold446_size135301_1_25346	scaffold446_1
scaffold446_size135301_27585_135301	scaffold446_2
scaffold447_size135242	scaffold447_1
scaffold448_size135157	scaffold448_1
scaffold449_size135107	scaffold449_1
scaffold450_size135067_1_49615	scaffold450_1
scaffold450_size135067_49617_135067	scaffold450_2
scaffold451_size135000	scaffold451_1
scaffold452_size134872_1_20246	scaffold452_1
scaffold452_size134872_21547_22521	scaffold452_2
scaffold452_size134872_22523_134872	scaffold452_3
scaffold453_size134711	scaffold453_1
scaffold454_size134408	scaffold454_1
scaffold455_size134346	scaffold455_1
scaffold456_size134171	scaffold456_1
scaffold457_size134059	scaffold457_1
scaffold458_size133915	scaffold458_1
scaffold459_size133820	scaffold459_1
scaffold460_size133785	scaffold460_1
scaffold461_size133637	scaffold461_1
scaffold462_size133577	scaffold462_1
scaffold463_size133553	scaffold463_1
scaffold464_size133511	scaffold464_1
scaffold465_size133453	scaffold465_1
scaffold466_size133274	scaffold466_1
scaffold467_size132981	scaffold467_1
scaffold468_size132905	scaffold468_1
scaffold469_size132772	scaffold469_1
scaffold470_size132770_1_91115	scaffold470_1
scaffold470_size132770_92036_132770	scaffold470_2
scaffold471_size132762	scaffold471_1
scaffold472_size132708	scaffold472_1
scaffold473_size132419	scaffold473_1
scaffold474_size132107	scaffold474_1
scaffold475_size131945	scaffold475_1
scaffold476_size131914_1_29597	scaffold476_1
scaffold476_size131914_30539_131914	scaffold476_2
scaffold477_size131855_1_77948	scaffold477_1
scaffold477_size131855_77950_131855	scaffold477_2
scaffold478_size131743	scaffold478_1
scaffold479_size131647_1_52110	scaffold479_1
scaffold479_size131647_52609_108163	scaffold479_2
scaffold479_size131647_108203_131647	scaffold479_3
scaffold480_size131476	scaffold480_1
scaffold481_size131410	scaffold481_1
scaffold482_size131319	scaffold482_1
scaffold483_size131318	scaffold483_1
scaffold484_size131195	scaffold484_1
scaffold485_size131132_1_63323	scaffold485_1
scaffold485_size131132_63325_131132	scaffold485_2
scaffold486_size131102	scaffold486_1
scaffold487_size131018	scaffold487_1
scaffold488_size130883	scaffold488_1
scaffold489_size130797	scaffold489_1
scaffold490_size130598	scaffold490_1
scaffold491_size130588	scaffold491_1
scaffold492_size132826	scaffold492_1
scaffold493_size130456	scaffold493_1
scaffold494_size130262	scaffold494_1
scaffold495_size130109	scaffold495_1
scaffold496_size130053	scaffold496_1
scaffold497_size129996	scaffold497_1
scaffold498_size129865_1_81207	scaffold498_1
scaffold498_size129865_82063_129865	scaffold498_2
