scaffold	pos	zscore	pvalue	adjpvalue	beta	FDRpvalue	absBetax1000
scaffold76_size253384	162418	-5.619801458	1.62E-06	3.54E-06	-9.46E-05	0.025711445	9.46E-02
scaffold76_size253384	162715	-5.479398394	2.54E-06	6.16E-06	-0.000159877	0.032615331	1.60E-01
scaffold76_size253384	163012	-5.555260556	1.99E-06	4.57E-06	-0.000110474	0.02870418	1.10E-01
scaffold76_size253384	163254	-5.610503493	1.67E-06	3.67E-06	-9.27E-05	0.026045017	9.27E-02
scaffold76_size253384	163605	-5.567337583	1.92E-06	4.36E-06	-0.0001563	0.028263986	1.56E-01
scaffold76_size253384	167425	5.966901998	5.26E-07	8.51E-07	0.000235618	0.01304039	2.36E-01
scaffold76_size253384	173302	-5.716800438	1.18E-06	2.40E-06	-0.000135059	0.020973069	1.35E-01
scaffold76_size253384	174679	5.548958263	2.03E-06	4.69E-06	0.000234811	0.029078113	2.35E-01
scaffold76_size253384	175139	5.847344755	7.75E-07	1.40E-06	0.000235715	0.016160151	2.36E-01
scaffold76_size253384	175152	5.777631177	9.71E-07	1.87E-06	0.000234788	0.018615106	2.35E-01
scaffold76_size253384	175199	6.003968569	4.67E-07	7.28E-07	0.000249644	0.012236359	2.50E-01
scaffold76_size253384	175200	6.003968569	4.67E-07	7.28E-07	0.000249644	0.012236359	2.50E-01
scaffold78_size252697_1_8962	5592	-5.612808264	1.65E-06	3.64E-06	-9.90E-05	0.025974018	9.90E-02
scaffold78_size252697_16979_252697	60070	-5.340312502	3.98E-06	1.05E-05	-0.000178481	0.041896546	1.78E-01
scaffold79_size250928_26764_250928	6000	5.315114911	4.32E-06	1.16E-05	8.73E-05	0.043974807	8.73E-02
scaffold84_size246228	145325	-5.317269377	4.29E-06	1.15E-05	-0.000206056	0.043832096	2.06E-01
scaffold84_size246228	145329	5.233438428	5.61E-06	1.57E-05	0.000201886	0.049920242	2.02E-01
scaffold84_size246228	145350	5.316661211	4.30E-06	1.15E-05	0.000198935	0.04384486	1.99E-01
scaffold84_size246228	145351	5.316661211	4.30E-06	1.15E-05	0.000198935	0.04384486	1.99E-01
scaffold84_size246228	145397	-5.445662206	2.84E-06	7.02E-06	-0.000225517	0.034958533	2.26E-01
scaffold84_size246228	145718	-7.15443773	1.14E-08	3.57E-09	-0.000249458	0.000617705	2.49E-01
scaffold85_size245077	17326	-5.370220413	3.62E-06	9.38E-06	-8.98E-05	0.040069664	8.98E-02
scaffold90_size239631	59375	-6.174261647	2.69E-07	3.50E-07	-9.85E-05	0.008337765	9.85E-02
scaffold92_size238147	194512	5.859701241	7.44E-07	1.33E-06	5.29E-05	0.015850208	5.29E-02
scaffold95_size237488	132932	5.970631077	5.20E-07	8.38E-07	4.22E-05	0.01295513	4.22E-02
scaffold95_size237488	132951	5.389185934	3.40E-06	8.73E-06	4.51E-05	0.038878033	4.51E-02
scaffold95_size237488	132980	5.32757887	4.15E-06	1.10E-05	4.94E-05	0.043058533	4.94E-02
scaffold95_size237488	159443	5.519951525	2.23E-06	5.25E-06	0.000163915	0.03057195	1.64E-01
scaffold95_size237488	159557	5.350590199	3.85E-06	1.01E-05	0.000132796	0.041265649	1.33E-01
scaffold95_size237488	233488	-5.34169407	3.96E-06	1.05E-05	-8.95E-05	0.041857684	8.95E-02
scaffold95_size237488	233490	-5.632168498	1.55E-06	3.37E-06	-0.000100329	0.025102776	1.00E-01
scaffold95_size237488	233557	-5.431490693	2.97E-06	7.41E-06	-6.02E-05	0.035894721	6.02E-02
scaffold95_size237488	233558	-5.431490693	2.97E-06	7.41E-06	-6.02E-05	0.035894721	6.02E-02
scaffold95_size237488	233614	-5.484046522	2.51E-06	6.05E-06	-0.000116563	0.032277967	1.17E-01
scaffold97_size233726	150152	6.167855636	2.74E-07	3.60E-07	0.000156383	0.008454434	1.56E-01
scaffold97_size233726	150161	5.285285295	4.75E-06	1.30E-05	0.000138193	0.04617631	1.38E-01
scaffold102_size228633	35978	5.378823774	3.52E-06	9.08E-06	0.000184937	0.039529688	1.85E-01
scaffold102_size228633	36023	5.910738379	6.31E-07	1.08E-06	0.00019452	0.014390691	1.95E-01
scaffold102_size228633	39510	5.31923649	4.26E-06	1.14E-05	0.000223876	0.043733659	2.24E-01
scaffold107_size226774	25141	5.32575311	4.17E-06	1.11E-05	0.000164397	0.043187865	1.64E-01
scaffold107_size226774	27852	5.430903733	2.97E-06	7.43E-06	0.00016328	0.035904742	1.63E-01
scaffold107_size226774	27873	6.039215597	4.16E-07	6.27E-07	0.000188562	0.011400985	1.89E-01
scaffold107_size226774	30189	5.28659511	4.73E-06	1.29E-05	0.000152724	0.046124183	1.53E-01
scaffold108_size226770	48006	-6.003975473	4.67E-07	7.28E-07	-8.81E-05	0.012236359	8.81E-02
scaffold110_size225821	162166	5.233470933	5.61E-06	1.57E-05	0.00012905	0.049920242	1.29E-01
scaffold111_size225310	53720	5.498114353	2.39E-06	5.72E-06	0.000118899	0.031622874	1.19E-01
scaffold112_size225157	218257	-5.239102969	5.51E-06	1.54E-05	-9.46E-05	0.049579936	9.46E-02
scaffold116_size222397	56249	-7.245779098	8.55E-09	2.25E-09	-0.000124124	0.000505789	1.24E-01
scaffold121_size217923_98765_217923	107030	-5.415764299	3.12E-06	7.88E-06	-8.90E-05	0.036993636	8.90E-02
scaffold123_size217347	76254	5.374203582	3.57E-06	9.24E-06	0.000185678	0.039790092	1.86E-01
scaffold123_size217347	76899	5.416611358	3.11E-06	7.85E-06	8.28E-05	0.036970561	8.28E-02
scaffold123_size217347	80228	5.542425901	2.08E-06	4.81E-06	0.000126808	0.029626384	1.27E-01
scaffold123_size217347	92122	5.442122577	2.87E-06	7.12E-06	0.000150389	0.035140678	1.50E-01
scaffold123_size217347	92124	5.442122577	2.87E-06	7.12E-06	0.000150389	0.035140678	1.50E-01
scaffold124_size217219	138536	-5.25360065	5.26E-06	1.46E-05	-6.55E-05	0.04852941	6.55E-02
scaffold126_size216713	149771	5.356053803	3.78E-06	9.91E-06	0.000151349	0.040930033	1.51E-01
scaffold128_size215155	55886	-5.376095237	3.55E-06	9.18E-06	-3.25E-05	0.039705904	3.25E-02
scaffold128_size215155	126647	-6.550473369	7.97E-08	6.49E-08	-9.65E-05	0.003092251	9.65E-02
scaffold128_size215155	126654	-5.29256068	4.64E-06	1.26E-05	-7.28E-05	0.045805739	7.28E-02
scaffold128_size215155	127305	-5.276653156	4.89E-06	1.34E-05	-7.10E-05	0.04693702	7.10E-02
scaffold128_size215155	127595	-5.257986053	5.19E-06	1.44E-05	-0.000100555	0.048437099	1.01E-01
scaffold131_size212582	113471	5.589636623	1.78E-06	3.99E-06	0.000170906	0.027167974	1.71E-01
scaffold131_size212582	113545	5.777295163	9.72E-07	1.87E-06	0.000203992	0.018615106	2.04E-01
scaffold132_size212532_1_190232	52846	-5.579831179	1.84E-06	4.15E-06	-9.20E-05	0.02765266	9.20E-02
scaffold132_size212532_191893_212532	7759	-5.287813418	4.71E-06	1.28E-05	-9.07E-05	0.046066999	9.07E-02
scaffold136_size210038	88356	6.24279254	2.15E-07	2.59E-07	0.000271435	0.007022878	2.71E-01
scaffold136_size210038	88406	5.770547093	9.93E-07	1.92E-06	0.000265251	0.018919242	2.65E-01
scaffold136_size210038	106259	-5.232932802	5.62E-06	1.58E-05	-6.29E-05	0.049934942	6.29E-02
scaffold136_size210038	106283	-5.787417308	9.41E-07	1.80E-06	-5.46E-05	0.018222025	5.46E-02
scaffold137_size209963	54579	-5.837750672	7.99E-07	1.46E-06	-7.50E-05	0.016416177	7.50E-02
scaffold140_size208482_1_58151	21623	-5.289957176	4.68E-06	1.27E-05	-9.97E-05	0.045886753	9.97E-02
scaffold140_size208482_1_58151	21767	-5.327351691	4.15E-06	1.11E-05	-0.000102951	0.043064458	1.03E-01
scaffold140_size208482_1_58151	21769	-7.046386186	1.62E-08	6.10E-09	-0.000118647	0.000752686	1.19E-01
scaffold147_size204049	126911	-6.17899937	2.65E-07	3.43E-07	-3.74E-05	0.008242383	3.74E-02
scaffold151_size202076	132825	-6.517545419	8.86E-08	7.55E-08	-1.51E-05	0.003448651	1.51E-02
scaffold152_size201971	129640	-5.253421615	5.26E-06	1.46E-05	-5.43E-05	0.04852941	5.43E-02
scaffold153_size201746	153313	-5.62977148	1.57E-06	3.40E-06	-0.000102234	0.025242965	1.02E-01
scaffold156_size201049_37454_143676	30521	5.303676016	4.48E-06	1.21E-05	7.67E-05	0.044751339	7.67E-02
scaffold156_size201049_37454_143676	91553	-5.302285944	4.50E-06	1.22E-05	-7.36E-05	0.044864346	7.36E-02
scaffold156_size201049_37454_143676	97780	-5.496759127	2.41E-06	5.75E-06	-8.41E-05	0.031622874	8.41E-02
scaffold156_size201049_146901_201049	43510	-5.294720607	4.61E-06	1.25E-05	-9.75E-05	0.045647316	9.75E-02
scaffold158_size199653	67024	-5.26403434	5.09E-06	1.40E-05	-9.79E-05	0.048010664	9.79E-02
scaffold158_size199653	67051	-5.366463775	3.66E-06	9.52E-06	-0.000106202	0.04025531	1.06E-01
scaffold158_size199653	67928	-5.322048138	4.22E-06	1.13E-05	-0.000110754	0.043525367	1.11E-01
scaffold158_size199653	68139	-5.392600229	3.36E-06	8.61E-06	-9.69E-05	0.038745252	9.69E-02
scaffold159_size199484	146372	5.255741906	5.22E-06	1.45E-05	0.000209396	0.04852941	2.09E-01
scaffold159_size199484	146957	5.548811208	2.03E-06	4.69E-06	0.000225629	0.029078113	2.26E-01
scaffold159_size199484	146961	6.018868693	4.45E-07	6.83E-07	0.000155214	0.01201369	1.55E-01
scaffold159_size199484	147431	5.483599077	2.51E-06	6.06E-06	0.000243835	0.032277967	2.44E-01
scaffold159_size199484	151222	5.498794181	2.39E-06	5.71E-06	0.000170268	0.031577603	1.70E-01
scaffold159_size199484	152229	6.203795522	2.44E-07	3.08E-07	0.000166812	0.007808891	1.67E-01
scaffold159_size199484	152423	5.370582032	3.61E-06	9.37E-06	0.000225581	0.040039203	2.26E-01
scaffold159_size199484	153698	5.66498957	1.40E-06	2.95E-06	0.000217817	0.02336891	2.18E-01
scaffold159_size199484	153851	5.82926009	8.21E-07	1.51E-06	0.000229893	0.016592585	2.30E-01
scaffold159_size199484	153959	5.323482913	4.20E-06	1.12E-05	0.000191452	0.043428569	1.91E-01
scaffold159_size199484	156592	5.939603554	5.75E-07	9.55E-07	0.000130288	0.013618145	1.30E-01
scaffold159_size199484	156790	5.29543335	4.60E-06	1.25E-05	0.000116568	0.045540441	1.17E-01
scaffold159_size199484	157589	5.806934661	8.83E-07	1.66E-06	0.000142623	0.017425865	1.43E-01
scaffold159_size199484	158698	5.292175335	4.65E-06	1.26E-05	0.000120098	0.045805739	1.20E-01
scaffold159_size199484	160460	5.264345626	5.08E-06	1.40E-05	0.000211755	0.048004705	2.12E-01
scaffold159_size199484	161760	5.291343255	4.66E-06	1.27E-05	0.000209462	0.045849703	2.09E-01
scaffold159_size199484	165789	5.490833922	2.45E-06	5.89E-06	0.000214749	0.031885198	2.15E-01
scaffold159_size199484	165791	5.490833922	2.45E-06	5.89E-06	0.000214749	0.031885198	2.15E-01
scaffold159_size199484	165792	5.490833922	2.45E-06	5.89E-06	0.000214749	0.031885198	2.15E-01
scaffold159_size199484	165969	5.476035568	2.57E-06	6.24E-06	0.000196049	0.032912303	1.96E-01
scaffold159_size199484	168789	5.395840507	3.33E-06	8.51E-06	0.000215845	0.038508951	2.16E-01
scaffold159_size199484	169383	5.334486572	4.06E-06	1.08E-05	0.000183204	0.042485284	1.83E-01
scaffold159_size199484	174778	5.331947902	4.09E-06	1.09E-05	0.000181877	0.042746115	1.82E-01
scaffold159_size199484	176685	5.49085951	2.45E-06	5.89E-06	0.000220498	0.031885198	2.20E-01
scaffold159_size199484	189638	5.553820027	2.00E-06	4.60E-06	0.000201191	0.028758937	2.01E-01
scaffold159_size199484	193229	5.525453421	2.19E-06	5.14E-06	0.000233118	0.030338213	2.33E-01
scaffold159_size199484	198154	5.574173348	1.87E-06	4.24E-06	8.70E-05	0.028003715	8.70E-02
scaffold159_size199484	198849	-5.257727537	5.19E-06	1.44E-05	-7.80E-05	0.048446658	7.80E-02
scaffold159_size199484	198993	5.554056959	2.00E-06	4.59E-06	0.00010515	0.028758937	1.05E-01
scaffold165_size198372	29957	-5.726215385	1.15E-06	2.31E-06	-9.49E-05	0.020749829	9.49E-02
scaffold179_size190157	15797	6.350455772	1.52E-07	1.61E-07	0.000174726	0.005531468	1.75E-01
scaffold194_size186409	76479	5.26741035	5.03E-06	1.39E-05	0.000175413	0.047793831	1.75E-01
scaffold194_size186409	76590	5.85156843	7.64E-07	1.38E-06	0.000179398	0.01609179	1.79E-01
scaffold194_size186409	76731	5.506052207	2.33E-06	5.55E-06	0.000173653	0.031271247	1.74E-01
scaffold194_size186409	76938	5.754820545	1.05E-06	2.05E-06	0.000181934	0.019625133	1.82E-01
scaffold194_size186409	77036	5.840043553	7.93E-07	1.45E-06	0.000194848	0.016367533	1.95E-01
scaffold194_size186409	77388	5.31795376	4.28E-06	1.15E-05	0.000255652	0.043832096	2.56E-01
scaffold194_size186409	77480	5.395273573	3.34E-06	8.53E-06	0.000175825	0.038543001	1.76E-01
scaffold194_size186409	77523	5.551245292	2.02E-06	4.64E-06	0.000185708	0.028879155	1.86E-01
scaffold194_size186409	77541	5.255360103	5.23E-06	1.45E-05	0.000186091	0.04852941	1.86E-01
scaffold194_size186409	77571	5.468839596	2.63E-06	6.41E-06	0.000197517	0.033388578	1.98E-01
scaffold194_size186409	81526	5.391745649	3.37E-06	8.64E-06	0.000174036	0.038751332	1.74E-01
scaffold194_size186409	81689	5.313436151	4.34E-06	1.17E-05	0.000168831	0.044059252	1.69E-01
scaffold194_size186409	82094	5.505593468	2.34E-06	5.56E-06	0.000154611	0.031271247	1.55E-01
scaffold194_size186409	82475	6.454643131	1.09E-07	1.01E-07	0.000195665	0.004055244	1.96E-01
scaffold194_size186409	85110	5.244621532	5.41E-06	1.51E-05	9.97E-05	0.049153912	9.97E-02
scaffold194_size186409	85577	5.313658779	4.34E-06	1.16E-05	0.000184375	0.044056407	1.84E-01
scaffold194_size186409	86095	5.745544967	1.08E-06	2.13E-06	0.000206699	0.019876969	2.07E-01
scaffold194_size186409	99565	5.389165013	3.40E-06	8.73E-06	0.000276554	0.038878033	2.77E-01
scaffold194_size186409	136812	-5.491649233	2.45E-06	5.87E-06	-0.000175318	0.031885198	1.75E-01
scaffold195_size186312_1_180072	25086	-5.726129481	1.15E-06	2.31E-06	-9.23E-05	0.020749829	9.23E-02
scaffold199_size184615_101721_184615	64954	-5.352040329	3.83E-06	1.01E-05	-9.99E-05	0.041218182	9.99E-02
scaffold199_size184615_101721_184615	64962	-5.374660554	3.56E-06	9.23E-06	-9.88E-05	0.039773507	9.88E-02
scaffold199_size184615_101721_184615	65021	-5.408371341	3.20E-06	8.11E-06	-0.00010002	0.037556197	1.00E-01
scaffold199_size184615_101721_184615	69388	-5.254099577	5.25E-06	1.46E-05	-8.15E-05	0.04852941	8.15E-02
scaffold206_size182533	96335	-5.232701813	5.63E-06	1.58E-05	-0.000126236	0.049936975	1.26E-01
scaffold206_size182533	105047	-5.614840093	1.64E-06	3.61E-06	-0.00012366	0.025899854	1.24E-01
scaffold206_size182533	128436	-5.329584052	4.12E-06	1.10E-05	-0.000142979	0.042929863	1.43E-01
scaffold208_size182513	157042	-5.748487175	1.07E-06	2.11E-06	-4.86E-05	0.019844096	4.86E-02
scaffold208_size182513	157062	-5.677594366	1.34E-06	2.81E-06	-4.68E-05	0.02274885	4.68E-02
scaffold209_size182240	75280	5.520115376	2.23E-06	5.25E-06	0.000154562	0.03057195	1.55E-01
scaffold212_size180337_1_174088	117992	-7.003303648	1.86E-08	7.55E-09	-8.95E-05	0.000841216	8.95E-02
scaffold214_size180006	38535	-5.41472462	3.13E-06	7.91E-06	-4.61E-05	0.037045858	4.61E-02
scaffold214_size180006	38536	-5.91073124	6.31E-07	1.08E-06	-3.99E-05	0.014390691	3.99E-02
scaffold214_size180006	38608	-6.644741207	5.88E-08	4.19E-08	-7.28E-05	0.002388909	7.28E-02
scaffold214_size180006	43297	-5.808692857	8.78E-07	1.65E-06	-3.14E-05	0.017352506	3.14E-02
scaffold216_size179776	178920	5.256054783	5.22E-06	1.45E-05	9.09E-05	0.04852941	9.09E-02
