scaffold	LG	postion
scaffold4808_size15561_1_5115	Dcart_14_ml	511.381
scaffold4810_size15550	Dcart_14_ml	182.7325
scaffold4925_size14997	Dcart_14_ml	164.976
scaffold4997_size14633	Dcart_14_ml	170.983
scaffold513_size107498	Dcart_14_ml	167.174
scaffold540_size105064_1_40022	Dcart_14_ml	466.363
scaffold564_size103024_1_43871	Dcart_14_ml	456.598
scaffold578_size102102_1_96506	Dcart_14_ml	470.202
scaffold599_size99463_1_93757	Dcart_14_ml	341.8333333
scaffold6_size514165_36401_514165	Dcart_14_ml	418.3767778
scaffold600_size99456	Dcart_14_ml	455.822
scaffold604_size99007	Dcart_14_ml	178.4845
scaffold612_size98403	Dcart_14_ml	177.9155
scaffold6493_size9435	Dcart_14_ml	74.889
scaffold670_size93567	Dcart_14_ml	145.8155
scaffold6708_size8862	Dcart_14_ml	495.612
scaffold692_size91473_1_47946	Dcart_14_ml	147.443
scaffold698_size90771	Dcart_14_ml	146.6255
scaffold703_size90514	Dcart_14_ml	462.187
scaffold748_size87193	Dcart_14_ml	319.247
scaffold763_size85813	Dcart_14_ml	155.129
scaffold7996_size5907	Dcart_14_ml	347.507
scaffold808_size81636	Dcart_14_ml	121.4186667
scaffold8220_size5570	Dcart_14_ml	350.222
scaffold873_size77380	Dcart_14_ml	468.266
scaffold9_size491952_1_446933	Dcart_14_ml	280.5298
scaffold951_size73227	Dcart_14_ml	313.8703333
scaffold983_size71912_9772_71912	Dcart_14_ml	166.075
scaffold1017_size70210	Dcart_15_ml	474.49975
scaffold1040_size69129_1_47785	Dcart_15_ml	452.998
scaffold1045_size68818_1_48091	Dcart_15_ml	450.5335
scaffold105_size238992_92339_110824	Dcart_15_ml	162.927
scaffold1052_size68570	Dcart_15_ml	14.305
scaffold1058_size68311_1_8715	Dcart_15_ml	460.822
scaffold1060_size68183_8011_68183	Dcart_15_ml	457.369
scaffold1073_size67642_4919_67642	Dcart_15_ml	213.508
scaffold128_size217110	Dcart_15_ml	443.6463333
scaffold1305_size57619	Dcart_15_ml	387.381
scaffold1339_size56020_1_49108	Dcart_15_ml	230.794
scaffold1462_size82801_30487_61959	Dcart_15_ml	427.213
scaffold154_size202904_3503_75357	Dcart_15_ml	110.327
scaffold165_size226793_1_145837	Dcart_15_ml	122.412
scaffold1657_size47896	Dcart_15_ml	223.243
