scaffold	LG	postion
scaffold687_size113435_1_90036	Dsyl_1_ml	473.025
scaffold687_size113435_90306_113435	Dsyl_1_ml	474.592
scaffold6905_size15241	Dsyl_1_ml	361.9196667
scaffold700_size112711	Dsyl_1_ml	583.286
scaffold7571_size12641	Dsyl_1_ml	395.4915
scaffold7814_size11680	Dsyl_1_ml	308.42
scaffold785_size106843	Dsyl_1_ml	380.409
scaffold8_size466584_15684_435736	Dsyl_1_ml	608.284
scaffold8263_size10241	Dsyl_1_ml	345.052
scaffold854_size102316	Dsyl_1_ml	439.81975
scaffold8546_size9530	Dsyl_1_ml	323.63
scaffold932_size97913	Dsyl_1_ml	318.0125
scaffold940_size97395	Dsyl_1_ml	452.319
scaffold101_size229544_1_159998	Dsyl_10_ml	287.2315
scaffold101_size229544_167932_229544	Dsyl_10_ml	284.07
scaffold1034_size92870	Dsyl_10_ml	153.755
scaffold106_size227054	Dsyl_10_ml	312.8675
scaffold1073_size91469	Dsyl_10_ml	327.541
scaffold10952_size4676	Dsyl_10_ml	80.33
scaffold1100_size90043	Dsyl_10_ml	327.1005
scaffold127_size215386	Dsyl_10_ml	256.717
scaffold1307_size81652	Dsyl_10_ml	177.6656667
scaffold1317_size81238_1_48856	Dsyl_10_ml	370.533
scaffold1333_size80752	Dsyl_10_ml	328.286
scaffold1389_size78681	Dsyl_10_ml	216.92
scaffold14_size387039	Dsyl_10_ml	266.736
scaffold1421_size77855	Dsyl_10_ml	427.907
scaffold1426_size77657	Dsyl_10_ml	117.257
scaffold1467_size76511	Dsyl_10_ml	181.4745
scaffold15_size376895_1_225294	Dsyl_10_ml	205.434
scaffold15_size376895_231200_376895	Dsyl_10_ml	204.3925
scaffold1571_size73509	Dsyl_10_ml	197.255
scaffold1606_size72663_60559_72663	Dsyl_10_ml	32.31
scaffold165_size198372	Dsyl_10_ml	33.6765
scaffold1689_size70668	Dsyl_10_ml	99.668
scaffold1870_size66177_1_29551	Dsyl_10_ml	212.8
scaffold1874_size66124	Dsyl_10_ml	282.185
scaffold1908_size65275	Dsyl_10_ml	250.333
scaffold193_size186445_17473_186445	Dsyl_10_ml	158.9364
scaffold1967_size64057	Dsyl_10_ml	87.674
scaffold2006_size63237	Dsyl_10_ml	274.704
scaffold2016_size63022	Dsyl_10_ml	57.328
scaffold2028_size62672	Dsyl_10_ml	37.848
scaffold2046_size62243	Dsyl_10_ml	272.208
scaffold205_size182689	Dsyl_10_ml	206.25775
scaffold21_size350315_70730_300271	Dsyl_10_ml	176.9493333
scaffold2119_size60588	Dsyl_10_ml	413.918
scaffold2198_size58746	Dsyl_10_ml	177.178
scaffold2201_size58686_39585_58686	Dsyl_10_ml	66.347
scaffold246_size167696	Dsyl_10_ml	138.50875
scaffold2577_size51634	Dsyl_10_ml	241.736
scaffold2745_size48997	Dsyl_10_ml	283.316
scaffold275_size162133	Dsyl_10_ml	213.743
scaffold324_size153638	Dsyl_10_ml	254.612
scaffold3282_size41844	Dsyl_10_ml	349.482
scaffold330_size152942	Dsyl_10_ml	212.8335
scaffold3376_size40678	Dsyl_10_ml	266.736
scaffold3522_size38817	Dsyl_10_ml	57.328
scaffold3719_size36174	Dsyl_10_ml	59.4125
scaffold373_size145283	Dsyl_10_ml	208.2323333
scaffold374_size145223	Dsyl_10_ml	108.504
scaffold3740_size36021_10288_36021	Dsyl_10_ml	398.909
scaffold3763_size35853	Dsyl_10_ml	317.183
scaffold3996_size33466	Dsyl_10_ml	77.326
scaffold4019_size33216	Dsyl_10_ml	317.9275
scaffold4062_size32797	Dsyl_10_ml	325.203
scaffold4088_size32608	Dsyl_10_ml	246.78
scaffold4174_size31901	Dsyl_10_ml	302.025
scaffold4285_size30954	Dsyl_10_ml	204.737
scaffold4300_size30839	Dsyl_10_ml	433.245
scaffold432_size137002	Dsyl_10_ml	271.579
scaffold4405_size30019	Dsyl_10_ml	320.683
scaffold447_size135242	Dsyl_10_ml	243.148
scaffold471_size132762	Dsyl_10_ml	432.114
scaffold4753_size27315	Dsyl_10_ml	90.905
scaffold496_size130053	Dsyl_10_ml	137.6686667
scaffold5021_size25382	Dsyl_10_ml	381.426
scaffold509_size128658	Dsyl_10_ml	216.9933333
scaffold5178_size24386	Dsyl_10_ml	206.59
scaffold520_size127513	Dsyl_10_ml	168.453
scaffold524_size127290	Dsyl_10_ml	214.456
scaffold5318_size23489_4522_23489	Dsyl_10_ml	320.683
scaffold569_size122639	Dsyl_10_ml	190.02625
scaffold601_size120208	Dsyl_10_ml	324.344
scaffold6137_size18753	Dsyl_10_ml	320.847
scaffold68_size261212	Dsyl_10_ml	218.5365
scaffold6877_size15374	Dsyl_10_ml	60.3805
scaffold7256_size13791	Dsyl_10_ml	341.685
scaffold784_size106860	Dsyl_10_ml	89.42
scaffold849_size102411	Dsyl_10_ml	327.684
scaffold8508_size9611	Dsyl_10_ml	53.866
scaffold895_size100064	Dsyl_10_ml	82.22
scaffold8979_size8369	Dsyl_10_ml	479.838
scaffold924_size98486	Dsyl_10_ml	342.3045
scaffold933_size97873_14196_97873	Dsyl_10_ml	213.8556667
scaffold9933_size6290	Dsyl_10_ml	155.143
scaffold997_size94412	Dsyl_10_ml	288.356
scaffold100_size230570	Dsyl_11_ml	225.4585
scaffold1019_size93355	Dsyl_11_ml	218.011
scaffold1044_size92699	Dsyl_11_ml	48.956
scaffold110_size225821	Dsyl_11_ml	32.182
scaffold1111_size89717	Dsyl_11_ml	159.049
scaffold1112_size89698	Dsyl_11_ml	306.696
scaffold114_size223421	Dsyl_11_ml	166.459
scaffold11905_size3176	Dsyl_11_ml	238.123
scaffold12_size397583	Dsyl_11_ml	105.215
scaffold1279_size82417	Dsyl_11_ml	201.29
scaffold1313_size81434	Dsyl_11_ml	156.003
scaffold1318_size81178	Dsyl_11_ml	103.7278333
scaffold1644_size71779	Dsyl_11_ml	298.044
scaffold1686_size70767	Dsyl_11_ml	202.494
scaffold1752_size69048	Dsyl_11_ml	207.9814
scaffold182_size188830	Dsyl_11_ml	75.52466667
scaffold1832_size66883	Dsyl_11_ml	130.76775
scaffold1839_size66765	Dsyl_11_ml	151.635
scaffold1842_size66714	Dsyl_11_ml	74.555
scaffold1921_size64975	Dsyl_11_ml	220.2673333
scaffold1942_size64672	Dsyl_11_ml	225.948
scaffold197_size185135	Dsyl_11_ml	196.599
scaffold209_size182240	Dsyl_11_ml	157.526
scaffold2103_size61111	Dsyl_11_ml	184.6136667
scaffold2122_size60488	Dsyl_11_ml	183.062
scaffold2314_size56207	Dsyl_11_ml	87.381
scaffold2396_size54723	Dsyl_11_ml	145.635
scaffold2406_size54569_9289_54569	Dsyl_11_ml	198.377
scaffold2704_size49608	Dsyl_11_ml	73.8356
scaffold2762_size48751	Dsyl_11_ml	143.393
scaffold2776_size48564	Dsyl_11_ml	319.949
scaffold2868_size47229	Dsyl_11_ml	198.945
scaffold2869_size47224	Dsyl_11_ml	218.8255
scaffold2993_size45601	Dsyl_11_ml	278.559
scaffold306_size155591	Dsyl_11_ml	85.5985
scaffold3571_size38254	Dsyl_11_ml	196.033
scaffold3644_size37199	Dsyl_11_ml	347.381
scaffold366_size146900_1_115679	Dsyl_11_ml	92.672
scaffold3906_size34429	Dsyl_11_ml	219.64
scaffold40_size328839	Dsyl_11_ml	119.777
scaffold4138_size32195	Dsyl_11_ml	192.102
scaffold4399_size30053	Dsyl_11_ml	127.386
scaffold445_size135374	Dsyl_11_ml	193.545
scaffold5057_size25117	Dsyl_11_ml	78.306
scaffold511_size128581	Dsyl_11_ml	118.306
scaffold5179_size24381	Dsyl_11_ml	82.473
scaffold5612_size21620	Dsyl_11_ml	192.102
scaffold592_size120640	Dsyl_11_ml	190.658
scaffold612_size118904	Dsyl_11_ml	108.489
scaffold620_size118483	Dsyl_11_ml	140.6773333
scaffold6225_size18323	Dsyl_11_ml	180.99
scaffold647_size116606	Dsyl_11_ml	185.521
scaffold699_size112723	Dsyl_11_ml	195.305
scaffold701_size163472_1_112676	Dsyl_11_ml	234.253
scaffold71_size256649	Dsyl_11_ml	78.306
scaffold736_size109720	Dsyl_11_ml	143.288
scaffold776_size107474	Dsyl_11_ml	93.835
scaffold8554_size9510	Dsyl_11_ml	70.876
scaffold885_size100533	Dsyl_11_ml	154.8576667
scaffold955_size96346	Dsyl_11_ml	220.595
scaffold9740_size13049	Dsyl_11_ml	270.3105
scaffold1008_size93725	Dsyl_12_ml	261.611
scaffold1014_size93550_27977_93550	Dsyl_12_ml	398.79
scaffold1049_size92465	Dsyl_12_ml	405.01
scaffold1185_size86449	Dsyl_12_ml	314.9543333
scaffold119_size221971	Dsyl_12_ml	232.798
scaffold1243_size83818	Dsyl_12_ml	239.711
scaffold12630_size2370	Dsyl_12_ml	334.954
scaffold1273_size82669	Dsyl_12_ml	329.836
scaffold1366_size79533	Dsyl_12_ml	341.342
scaffold1437_size91135_1_77353	Dsyl_12_ml	200.1445
scaffold1560_size73813	Dsyl_12_ml	195.7723333
scaffold1642_size71866	Dsyl_12_ml	230.828
scaffold169_size196547_118101_196547	Dsyl_12_ml	243.078
scaffold1733_size69587_58828_60453	Dsyl_12_ml	102.066
scaffold1777_size68502_14734_68502	Dsyl_12_ml	358.119
scaffold184_size188470	Dsyl_12_ml	199.276
scaffold2018_size63021	Dsyl_12_ml	416.415
scaffold2075_size61608	Dsyl_12_ml	402.379
scaffold2144_size60034	Dsyl_12_ml	124.025
scaffold2266_size57416	Dsyl_12_ml	334.226
scaffold2307_size56364	Dsyl_12_ml	317.6825
scaffold2317_size56179	Dsyl_12_ml	252.58
scaffold2351_size55475	Dsyl_12_ml	322.3586667
scaffold2404_size54583	Dsyl_12_ml	291.441
scaffold2446_size53817	Dsyl_12_ml	282.114
scaffold2591_size51343_4760_51343	Dsyl_12_ml	216.641
scaffold2605_size51039	Dsyl_12_ml	416.072
scaffold2749_size48928	Dsyl_12_ml	407.1965
scaffold279_size161205	Dsyl_12_ml	377.085
scaffold2790_size48297	Dsyl_12_ml	382.456
scaffold2821_size47976	Dsyl_12_ml	356.372
scaffold2858_size47328	Dsyl_12_ml	294.394
scaffold2872_size47208	Dsyl_12_ml	384.253
scaffold2962_size45941	Dsyl_12_ml	285.308
scaffold3000_size45501	Dsyl_12_ml	390.306
scaffold3004_size45457	Dsyl_12_ml	345.318
scaffold3106_size44288	Dsyl_12_ml	347.79
scaffold311_size155266	Dsyl_12_ml	208.068
scaffold3150_size43639	Dsyl_12_ml	255.1773333
scaffold3391_size40521	Dsyl_12_ml	36.966
scaffold3394_size40434	Dsyl_12_ml	436.403
scaffold350_size149510	Dsyl_12_ml	235.041
scaffold3604_size66109_31562_66109	Dsyl_12_ml	349.4195
scaffold3666_size36932	Dsyl_12_ml	40.463
scaffold371_size145750	Dsyl_12_ml	329.9105
scaffold3753_size35945	Dsyl_12_ml	279.9675
scaffold3755_size35938	Dsyl_12_ml	355.544
scaffold3761_size35859	Dsyl_12_ml	377.956
scaffold386_size142867_1_76614	Dsyl_12_ml	196.487
scaffold3905_size34430	Dsyl_12_ml	260.882
scaffold391_size142594	Dsyl_12_ml	291.441
scaffold3958_size33894	Dsyl_12_ml	510.4205
scaffold4015_size33242	Dsyl_12_ml	442.998
scaffold4059_size32836	Dsyl_12_ml	108.333
scaffold4068_size32754	Dsyl_12_ml	382.456
scaffold412_size139582_99336_139582	Dsyl_12_ml	449.41
scaffold4212_size31591	Dsyl_12_ml	256.321
scaffold4273_size31105	Dsyl_12_ml	402.379
scaffold439_size136414	Dsyl_12_ml	496.368
scaffold4451_size29596	Dsyl_12_ml	394.341
scaffold4460_size29524	Dsyl_12_ml	366.391
scaffold4461_size29522	Dsyl_12_ml	216.9093333
scaffold4496_size29203	Dsyl_12_ml	23.986
scaffold466_size133274	Dsyl_12_ml	377.344
scaffold479_size131647_108203_131647	Dsyl_12_ml	89.895
scaffold4960_size25767	Dsyl_12_ml	347.754
scaffold5174_size24395	Dsyl_12_ml	377.068
scaffold5205_size24229	Dsyl_12_ml	288.111
scaffold5323_size23462	Dsyl_12_ml	0
scaffold5359_size23260	Dsyl_12_ml	476.3283333
scaffold615_size118771	Dsyl_12_ml	283.066
scaffold616_size118748_50873_118748	Dsyl_12_ml	248.023
scaffold641_size116885	Dsyl_12_ml	372.529
scaffold6434_size17296	Dsyl_12_ml	438.3165
scaffold6471_size17137	Dsyl_12_ml	45.408
scaffold662_size115835	Dsyl_12_ml	247.674
scaffold6839_size15527	Dsyl_12_ml	381.405
scaffold705_size112404	Dsyl_12_ml	220.1753333
scaffold7170_size14098	Dsyl_12_ml	359.943
scaffold771_size107656	Dsyl_12_ml	295.072
scaffold7864_size11492	Dsyl_12_ml	379.716
scaffold815_size105377	Dsyl_12_ml	242.365
scaffold87_size242295	Dsyl_12_ml	262.323
scaffold872_size101164	Dsyl_12_ml	283.066
scaffold92_size238147	Dsyl_12_ml	278.0098
scaffold98_size233610	Dsyl_12_ml	290.542
scaffold1_size1318325_1_614794	Dsyl_13_ml	233.70275
scaffold1_size1318325_616324_1318325	Dsyl_13_ml	232.0882143
scaffold1015_size93456	Dsyl_13_ml	621.429
scaffold1052_size92363	Dsyl_13_ml	446.0443333
scaffold1055_size174887	Dsyl_13_ml	422.072
scaffold10899_size4743	Dsyl_13_ml	567.897
scaffold1113_size89589	Dsyl_13_ml	450.978
scaffold1119_size89412	Dsyl_13_ml	455.33
scaffold1170_size86839	Dsyl_13_ml	344.7504
scaffold1171_size86837	Dsyl_13_ml	410.788
scaffold121_size217923_98765_217923	Dsyl_13_ml	265.364
scaffold1221_size84621	Dsyl_13_ml	246.3415
scaffold1236_size84080	Dsyl_13_ml	469.559
scaffold1283_size82227	Dsyl_13_ml	373.387
scaffold1285_size82183	Dsyl_13_ml	313.364
scaffold13059_size2135	Dsyl_13_ml	294.243
scaffold1349_size80283	Dsyl_13_ml	289.0823333
scaffold1383_size80448	Dsyl_13_ml	423.72
scaffold14154_size1794	Dsyl_13_ml	167.769
scaffold143_size207222_1_101026	Dsyl_13_ml	401.629
scaffold1458_size76751	Dsyl_13_ml	552.017
scaffold1474_size76384	Dsyl_13_ml	132.889
scaffold1486_size79676	Dsyl_13_ml	682.0903333
scaffold151_size202076	Dsyl_13_ml	284.5613333
scaffold1519_size75069	Dsyl_13_ml	143.446
scaffold1669_size71084	Dsyl_13_ml	245.617
scaffold1687_size70737	Dsyl_13_ml	469.987
scaffold1721_size69786	Dsyl_13_ml	446.055
scaffold1785_size68355	Dsyl_13_ml	617.855
scaffold1794_size68068	Dsyl_13_ml	194.396
scaffold1830_size66905	Dsyl_13_ml	253.0325
scaffold1994_size63442	Dsyl_13_ml	365.172
scaffold2_size711759_166492_711759	Dsyl_13_ml	254.747625
scaffold2_size711759_33708_159261	Dsyl_13_ml	254.0973333
scaffold2067_size61852	Dsyl_13_ml	336.028
scaffold2072_size61715	Dsyl_13_ml	378.318
scaffold2082_size61512	Dsyl_13_ml	197.818
scaffold2153_size59822	Dsyl_13_ml	304.563
scaffold2205_size58570_3026_58570	Dsyl_13_ml	175.098
scaffold225_size176217_1_95675	Dsyl_13_ml	172.337
scaffold225_size176217_95677_176217	Dsyl_13_ml	148.767
scaffold2278_size56970	Dsyl_13_ml	167.769
scaffold2345_size55595	Dsyl_13_ml	372.206
scaffold253_size166489	Dsyl_13_ml	360.567
scaffold254_size166296	Dsyl_13_ml	167.037
scaffold2541_size52236	Dsyl_13_ml	254.0675
scaffold2550_size52133	Dsyl_13_ml	280.3646667
scaffold2628_size50675	Dsyl_13_ml	386.98
scaffold2699_size49709	Dsyl_13_ml	390.132
scaffold278_size161220_1_111677	Dsyl_13_ml	174.824
scaffold294_size157993	Dsyl_13_ml	623.759
scaffold3048_size45040	Dsyl_13_ml	532.4825
scaffold313_size155083	Dsyl_13_ml	475.107
scaffold3152_size43627	Dsyl_13_ml	439.384
scaffold3245_size42341	Dsyl_13_ml	353.3703333
scaffold3302_size41611	Dsyl_13_ml	605.5265
scaffold3303_size41607	Dsyl_13_ml	176.193
scaffold34_size321243	Dsyl_13_ml	274.0285
scaffold3474_size39342	Dsyl_13_ml	443.4545
scaffold3482_size39228	Dsyl_13_ml	376.9895
scaffold3543_size38606_19749_38606	Dsyl_13_ml	282.661
scaffold3547_size38558	Dsyl_13_ml	313.364
scaffold369_size146377_79670_146377	Dsyl_13_ml	144.21175
scaffold3770_size35756	Dsyl_13_ml	180.585
scaffold3812_size35370	Dsyl_13_ml	395.908
scaffold389_size142697	Dsyl_13_ml	224.1413333
scaffold396_size141525	Dsyl_13_ml	687.419
scaffold397_size141374	Dsyl_13_ml	243.143
scaffold405_size140739	Dsyl_13_ml	203.3695
scaffold430_size137349	Dsyl_13_ml	459.747
scaffold435_size136816	Dsyl_13_ml	469.4675
scaffold443_size135660	Dsyl_13_ml	299.886
scaffold4440_size29691	Dsyl_13_ml	694.554
scaffold4450_size29596	Dsyl_13_ml	425.765
scaffold449_size135107	Dsyl_13_ml	368.9335
scaffold4495_size29204	Dsyl_13_ml	473.055
scaffold4506_size29084	Dsyl_13_ml	151.838
scaffold4565_size28668	Dsyl_13_ml	452.614
scaffold4658_size27973	Dsyl_13_ml	467.265
scaffold480_size131476	Dsyl_13_ml	240.5283333
scaffold489_size130797	Dsyl_13_ml	380.302
scaffold4936_size25965	Dsyl_13_ml	119.108
scaffold5033_size25322	Dsyl_13_ml	633.28
scaffold515_size128136	Dsyl_13_ml	284.795
scaffold518_size127666	Dsyl_13_ml	458.9765
scaffold5393_size23028	Dsyl_13_ml	440.5475
scaffold5423_size22826	Dsyl_13_ml	614.833
scaffold568_size122801	Dsyl_13_ml	433.4125
scaffold57_size281098_1_189838	Dsyl_13_ml	481.4715
scaffold5934_size19869	Dsyl_13_ml	104.059
scaffold5944_size19818	Dsyl_13_ml	396.235
scaffold6115_size18839	Dsyl_13_ml	439.384
scaffold6321_size17838	Dsyl_13_ml	5.658
scaffold6328_size17804	Dsyl_13_ml	391.57
scaffold633_size117616	Dsyl_13_ml	375.177
scaffold639_size116939	Dsyl_13_ml	442.976
scaffold652_size116366	Dsyl_13_ml	455.7895
scaffold671_size114748	Dsyl_13_ml	176.193
scaffold714_size111371_1_79699	Dsyl_13_ml	374.8745
scaffold7327_size13499	Dsyl_13_ml	375.697
scaffold753_size108776	Dsyl_13_ml	136.6122
scaffold816_size105368_1_39084	Dsyl_13_ml	366.753
scaffold818_size105104	Dsyl_13_ml	180.867
scaffold8211_size10383	Dsyl_13_ml	175.6515
scaffold825_size104456	Dsyl_13_ml	309.6045
scaffold837_size103829	Dsyl_13_ml	460.624
scaffold10_size403606	Dsyl_14_ml	553.885
scaffold1031_size92937	Dsyl_14_ml	450.0213333
scaffold1078_size91025	Dsyl_14_ml	725.399
scaffold1085_size96695_5959_96695	Dsyl_14_ml	579.7375
scaffold1104_size89900	Dsyl_14_ml	359.576
scaffold1152_size87474	Dsyl_14_ml	692.932
scaffold116_size222397	Dsyl_14_ml	607.033625
scaffold122_size217490	Dsyl_14_ml	80.871
scaffold1259_size83211_1_37186	Dsyl_14_ml	417.617
scaffold1274_size82668_6717_82668	Dsyl_14_ml	583.149
scaffold133_size211461	Dsyl_14_ml	707.8793333
scaffold1336_size80645	Dsyl_14_ml	595.667
scaffold1431_size77451	Dsyl_14_ml	166.354
scaffold1444_size77255	Dsyl_14_ml	131.183
scaffold1445_size77220	Dsyl_14_ml	413.0156667
scaffold145_size205777	Dsyl_14_ml	750.251
scaffold1473_size76404	Dsyl_14_ml	518.732
scaffold1490_size76045	Dsyl_14_ml	778.903
scaffold1491_size75964	Dsyl_14_ml	114.682
scaffold1502_size75778	Dsyl_14_ml	191.567
scaffold1506_size75553	Dsyl_14_ml	219.837
scaffold1526_size74856	Dsyl_14_ml	456.817
scaffold16_size375037	Dsyl_14_ml	693.165
scaffold17227_size1335	Dsyl_14_ml	405.245
scaffold173_size192576	Dsyl_14_ml	680.0373333
scaffold1764_size68837	Dsyl_14_ml	143.04
scaffold1769_size68734_5379_68734	Dsyl_14_ml	550.158
scaffold177_size191359	Dsyl_14_ml	457.095
scaffold179_size190157	Dsyl_14_ml	130.359
scaffold1883_size65794	Dsyl_14_ml	413.471
scaffold1984_size63601	Dsyl_14_ml	166.354
scaffold1989_size63475	Dsyl_14_ml	457.668
scaffold2026_size62759	Dsyl_14_ml	629.47
scaffold2034_size62521	Dsyl_14_ml	724.4335
scaffold223_size177318	Dsyl_14_ml	624.6085
scaffold2279_size56935	Dsyl_14_ml	90.908
scaffold230_size174468	Dsyl_14_ml	97.0142
scaffold2355_size55433	Dsyl_14_ml	516.84
scaffold2377_size55042	Dsyl_14_ml	122.128
scaffold2391_size54821	Dsyl_14_ml	84.165
scaffold240_size170785	Dsyl_14_ml	672.334
scaffold242_size169101	Dsyl_14_ml	716.3515
scaffold2494_size52967	Dsyl_14_ml	450.619
scaffold2701_size49679	Dsyl_14_ml	236.32
scaffold2732_size49206	Dsyl_14_ml	144.1366667
scaffold2738_size49113	Dsyl_14_ml	586.691
scaffold2764_size48719	Dsyl_14_ml	205.404
scaffold2915_size46504	Dsyl_14_ml	12.724
scaffold2941_size46133_21869_46133	Dsyl_14_ml	135.797
scaffold3019_size45307	Dsyl_14_ml	470.3765
scaffold3049_size45039	Dsyl_14_ml	144.25
scaffold3080_size44559	Dsyl_14_ml	401.075
scaffold31_size328605_300507_328605	Dsyl_14_ml	149.198
scaffold3156_size43584	Dsyl_14_ml	180.368
scaffold331_size152649	Dsyl_14_ml	462.864
scaffold335_size152339	Dsyl_14_ml	230.081
scaffold3350_size41024	Dsyl_14_ml	524.7186667
scaffold336_size154368	Dsyl_14_ml	141.356
scaffold3381_size40622	Dsyl_14_ml	654.428
scaffold339_size151820	Dsyl_14_ml	455.966
scaffold3436_size39824	Dsyl_14_ml	124.301
scaffold3460_size39609	Dsyl_14_ml	598.282
scaffold3566_size39891	Dsyl_14_ml	164.884
scaffold365_size146915	Dsyl_14_ml	252.941
scaffold3704_size36311	Dsyl_14_ml	435.7335
scaffold3745_size35999	Dsyl_14_ml	192.388
scaffold377_size144185	Dsyl_14_ml	704.117
scaffold3839_size35139	Dsyl_14_ml	97.508
scaffold385_size142932	Dsyl_14_ml	698.968
scaffold3919_size34286	Dsyl_14_ml	95.734
scaffold4036_size33071	Dsyl_14_ml	631.43
scaffold4049_size32949	Dsyl_14_ml	579.502
scaffold4123_size32303	Dsyl_14_ml	374.9365
scaffold415_size138668_1_77955	Dsyl_14_ml	522.278
scaffold415_size138668_84484_138668	Dsyl_14_ml	737.265
scaffold4156_size32035	Dsyl_14_ml	156.3835
scaffold42_size311157	Dsyl_14_ml	478.7002
scaffold4551_size28756	Dsyl_14_ml	419.977
scaffold46_size302327_32579_302327	Dsyl_14_ml	781.334
scaffold4845_size26679	Dsyl_14_ml	403.1695
scaffold4850_size26635	Dsyl_14_ml	736.923
scaffold499_size129835	Dsyl_14_ml	385.958
scaffold522_size127374	Dsyl_14_ml	532.37875
scaffold5339_size23388	Dsyl_14_ml	147.896
scaffold563_size123140_53145_123140	Dsyl_14_ml	83.135
scaffold5641_size21402	Dsyl_14_ml	605.807
scaffold5642_size21399	Dsyl_14_ml	625.118
scaffold5652_size21319	Dsyl_14_ml	233.26025
